公司代號,公司名稱,市場別
1012,,TPEx
1062,,TPEx
1112,,TPEx
1120,,TPEx
1147,,TPEx
1174,,TPEx
1184,,TPEx
1193,,TPEx
1200,,TPEx
1564,,TPEx
1591,,TPEx
172983,,TPEx
1769,,TPEx
1994,,TPEx
2024,,TPEx
2103,,TPEx
2130,,TPEx
2369,,TPEx
2428,,TPEx
2575,,TPEx
2580,,TPEx
2667,,TPEx
2680,,TPEx
2694,,TPEx
2719,,TPEx
2734,,TPEx
2781,,TPEx
2796,,TPEx
2801,,TPEx
2842,,TPEx
2843,,TPEx
2844,,TPEx
2855,,TPEx
2859,,TPEx
2862,,TPEx
2865,,TPEx
2869,,TPEx
2872,,TPEx
2876,,TPEx
2886,,TPEx
2887,,TPEx
2889,,TPEx
2893,,TPEx
3788,,TPEx
4399,,TPEx
4500,,TPEx
9555,,TPEx
